Name,Desc,PlantType,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance,Type de Sol
Ursinia (African Daisy),"Ursinia est un genre d’environ 40 espèces annuelles, vivaces ou sous-arbrisseaux de la famille des Astéracées, originaires d’Afrique du Sud. Les fleurs, semblables à des marguerites, aux pétales jaunes, oranges ou pourpres, fleurissent tout au long de la belle saison et attirent les abeilles et autres insectes utiles. Faciles à cultiver, elles conviennent bien aux débutants.","Annuals, Perennials","Spring, Autumn, Winter, Summer",Ursinia grows from 20 cm to 60 cm (8 inches to 2 ft) in height.,"Ursinia prefers sandy, fertile and well drained soil.","Full sun, Partial sun",avarage,low,Sable
Xanthisma (Xanthisma),"Xanthisma est un genre d’une dizaine d’espèces de la famille des Astéracées, originaire des États-Unis et du Mexique. Les fleurs, semblables à des marguerites, sont généralement jaunes avec un disque central plus foncé. Elles fleurissent souvent au printemps, mais peuvent aussi refleurir en dehors de cette période. Résistantes à la sécheresse, elles conviennent aux jardins xérophiles.","Annuals, Perennials","Spring, Autumn, Winter, Summer",This plant can reach a height of 60 cm (2 ft).,"Xanthisma prefers well-drained, sandy soil and can survive in dry soil as well. It tolerates pH levels between 5.0 and 7.0.","Full sun, Partial sun",low,low,Sable
Xeranthemum (Xeranthemum),"Xeranthemum est un genre de 6 espèces annuelles de la famille des Astéracées, originaires du bassin méditerranéen et d’Asie du Sud-Ouest. Ces plantes possèdent un feuillage argenté et des fleurs papyracées, en forme de marguerite, aux couleurs variées (rose, blanc, mauve). Elles sont très prisées pour les bouquets secs et leur floraison estivale.",Annuals,"Autumn, Summer",This plant can grow between 30 and 90 cm (1-3 ft) tall.,"Xeranthemum prefers fertile, moist and well-drained soil.",Full sun,avarage,low,Sable
Xerochrysum (Xerochrysum),"Xerochrysum est un genre de 8 espèces de la famille des Astéracées, originaire d’Australie. Les fleurs dites « immortelles » sont en fait des bractées colorées entourant un cœur de fleurons jaunes. Disponibles en de nombreux coloris (jaune, orange, rose, rouge, blanc), elles sont appréciées pour leur longue tenue en bouquet sec et leur floraison continue.","Annuals, Perennials, Shrubs","Spring, Autumn, Summer","Xerochrysum grows from 20 to 150 cm (8 inches to 5 ft) tall, depending on species.","Xerochrysum prefers soil with a pH of 5.5 to 7.5,, but the plant grows in nearly any well-drained soil.",Full sun,avarage,low,Sable
Xerophyllum (Xerophyllum),"Xerophyllum est un petit genre nord-américain de la famille des Mélanthiacées, comprenant deux espèces : Xerophyllum tenax et Xerophyllum asphodeloides. Ces plantes possèdent un feuillage en touffe, linéaire et rigide, et produisent au sommet de longues tiges des épis denses de petites fleurs blanches légèrement parfumées. Elles s’adaptent bien aux sols pauvres et aux conditions difficiles.","Herbs, Perennials","Spring, Summer","These plants can grow from 50 cm to 1,5 meters (2-5 ft) tall, with numerous small flowers growing on long flower stalks.",Xerophyllum prefers sandy or loamy soil that is well-drained.,"Full sun, Partial sun",low,low,Sable
Yucca (Yucca),"Yucca est un genre d’environ 50 espèces de plantes persistantes, arbustives ou arborescentes, de la famille des Asparagacées, originaires d’Amérique du Nord, du Mexique et des Caraïbes. Elles se caractérisent par leurs rosettes de feuilles en forme d’épée et leurs hampes florales portant des clochettes blanches ou crème, souvent parfumées.","Cactus - Succulents, Shrubs, Trees","Spring, Autumn, Summer","Yucca grows from 60 cm to 4,5 metres (2 to 15 ft) high, depending on species.","This plant grows best in sandy and well drained soil, with a pH level between 5.5 and 7.5.","Full sun, Partial sun",low,low,Sable
Phormium,"Le Phormium, aussi appelé lin de Nouvelle-Zélande, est une plante robuste et décorative qui tolère bien la sécheresse une fois établie. Il préfère une exposition en plein soleil ou à mi-ombre et s’adapte à différents types de sols bien drainés. Peu exigeant, son entretien se limite à retirer les feuilles mortes ou abîmées pour conserver son aspect esthétique.",Perennials,Summer,"50 cm, 250 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,Sable
Cactus Colonnaires (pachycereus),"Les Pachycereus, ou cactus colonnaires, sont des cactus de grande taille qui aiment le plein soleil et tolèrent des conditions arides. Ils nécessitent un sol bien drainé et un arrosage très limité, surtout en hiver. Leur entretien est minimal, se résumant à éviter les excès d’humidité et à les protéger du gel en cas de températures très basses.",Succulents,"Spring,Summer","100 cm, 1000 cm",pH between 5.5 to 6.5,Full sun,Low,Low,Sable
Marguerites du Cap (Dimorphotheca ecklonis),Les Marguerites du Cap sont des plantes vivaces ou annuelles qui aiment le plein soleil et tolèrent bien la sécheresse une fois établies. Elles préfèrent un sol bien drainé et nécessitent un arrosage modéré. Leur entretien est simple : il suffit de retirer les fleurs fanées pour prolonger la floraison et d’effectuer une légère taille après la floraison pour favoriser une nouvelle pousse.,"Annuals, Perennials","Spring,Summer","20 cm, 100 cm",pH between 5.5 to 6.5,Full sun,Low to Average,Low,Sable
Coussin de belle-mère (Echinocactus grusonii),"L'Echinocactus grusonii, aussi appelé Coussin de belle-mère, est un cactus sphérique très résistant qui préfère une exposition en plein soleil et un sol bien drainé. Il a des besoins en eau très faibles et doit être arrosé avec parcimonie, surtout en hiver. Son entretien est minimal : éviter l'excès d'humidité et le protéger du gel en hiver si cultivé en extérieur dans une région froide.",Succulents,Summer,"20 cm, 150 cm",pH between 5.5 to 6.5,Full sun,Low,Low,Sable
Aloe vera,"L'Aloe vera est une plante succulente qui préfère une exposition en plein soleil ou en mi-ombre. Elle nécessite un sol bien drainé et un arrosage très modéré, surtout en hiver. Son entretien est minimal : il suffit d’éviter l’excès d’eau et de retirer les feuilles abîmées au besoin. En plus de son aspect décoratif, elle est appréciée pour ses propriétés médicinales.",Succulents,"Winter,Spring","10 cm, 100 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,Sable
Aloès arborescent (Aloe arborescens),"L'Aloès arborescent est une plante succulente résistante qui prospère en plein soleil ou en mi-ombre. Il nécessite un sol bien drainé et un arrosage modéré, avec des périodes de sécheresse entre les arrosages. Son entretien est simple : il suffit de protéger la plante du gel en hiver et de retirer les feuilles sèches au besoin. En plus d’être décoratif, il est connu pour ses propriétés médicinales, similaires à celles de l'Aloe vera.",Succulents,Winter,"50 cm, 300 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,Sable
Agave (Agave americana),L'Agave americana est une plante succulente robuste qui prospère en plein soleil et dans un sol bien drainé. Elle nécessite très peu d’eau et tolère bien la sécheresse. Son entretien est minimal : il suffit d’éviter les excès d’humidité et de retirer les feuilles mortes ou abîmées. Attention à ses feuilles rigides et pointues qui peuvent être piquantes.,Succulents,Summer,"50 cm, 200 cm",pH between 5.5 to 6.5,Full sun,Low,Low,Sable
Yucca géant (Yucca gigantea),"Le Yucca gigantea, aussi appelé Yucca elephantipes, est une plante ornementale robuste qui prospère sous une exposition en plein soleil ou à mi-ombre. Il préfère un sol bien drainé et nécessite peu d’arrosage, supportant bien la sécheresse une fois établi. Son entretien est minimal : il suffit d’éliminer les feuilles mortes et, si nécessaire, de tailler le tronc pour contrôler sa hauteur. Contrairement à d’autres yuccas, il n’a pas de feuilles rigides et pointues, ce qui le rend plus adapté aux jardins et aux espaces intérieurs. Il tolère des températures fraîches mais doit être protégé du gel intense.","Succulents, Trees",Summer,"2 m, 10 m",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,Sable
Yucca à multiples troncs (Yucca filifera),"Le Yucca filifera est une espèce de yucca à croissance lente qui peut atteindre une taille impressionnante avec plusieurs troncs ramifiés. Il prospère en plein soleil ou à mi-ombre et préfère un sol bien drainé, tolérant même des conditions arides. Très résistant à la sécheresse, il nécessite peu d’arrosage. Son entretien est minimal : il suffit d’éliminer les feuilles mortes pour maintenir un aspect esthétique. Il supporte des températures fraîches mais doit être protégé du gel intense dans les climats rigoureux. Idéal pour les jardins secs, il apporte une touche exotique et architecturale.","Trees, Succulents",Summer,"2 m, 10 m",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,Sable
Cactus Saguaro (Carnegiea gigantea),"Le Cactus Saguaro est un cactus emblématique des déserts nord-américains, connu pour sa silhouette imposante. Il prospère sous une exposition en plein soleil et nécessite un sol très bien drainé, voire aride. Son arrosage doit être très limité, surtout en hiver, car il est adapté aux conditions de sécheresse extrême. Son entretien est minimal : éviter les excès d'humidité et assurer une bonne protection contre le gel dans les régions aux hivers froids. Ce cactus pousse très lentement mais peut atteindre des tailles impressionnantes avec le temps.","Trees, Succulents","Spring,Summer","12 m, 18 m",pH between 5.5 to 6.5,Full sun,Low,Low,Sable
Palmier abricot (Butia capitata),"Le Palmier abricot, aussi appelé Palmier Butia ou Palmier à fruits sucrés, est un palmier rustique qui prospère sous une exposition en plein soleil. Il préfère un sol bien drainé et tolère des périodes de sécheresse une fois bien établi. Son entretien est minimal : un arrosage modéré, une taille occasionnelle des feuilles mortes et une fertilisation légère au printemps. Il est apprécié pour ses fruits comestibles au goût sucré rappelant l’abricot et sa résistance aux températures modérément froides.",Trees,"Spring,Summer","2 m, 10 m",pH between 5.5 to 6.5,Full sun,avarage,Low,Sable
Noline recourbée (Beaucarnea recurvata),"La Noline recourbée, aussi appelée Pied d'éléphant, est une plante résistante et décorative qui apprécie le plein soleil ou la mi-ombre. Elle nécessite un sol bien drainé et un arrosage très modéré, car son tronc renflé stocke l’eau. Son entretien est minimal : éviter les excès d’eau, retirer les feuilles sèches et, si nécessaire, rempoter tous les quelques années. Elle est idéale en intérieur ou en extérieur dans des climats doux.","Trees, Succulents",Summer,"100 cm, 600 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Low,Low,"Sable, Argile léger"
Cordyline australe (Cordyline australis),"La Cordyline australe est une plante ornementale résistante qui préfère une exposition en plein soleil ou en mi-ombre. Elle s’adapte bien aux sols bien drainés et nécessite un arrosage modéré, avec un peu plus d’eau en période de croissance. Son entretien est simple : il suffit de retirer les feuilles mortes et, si nécessaire, de tailler la plante pour encourager la ramification. Elle tolère bien la sécheresse et résiste aux conditions côtières.","Shrubs, Trees",Summer,"100 cm, 400 cm",pH between 5.5 to 6.5,"Full sun, Partial sun",Average,Low,"Sable, Limon"
Bougainvillier Marie Palmer (Bougainvillea glabra),"Le Bougainvillier 'Marie Palmer' est une variété de Bougainvillea glabra, connue pour sa floraison abondante et colorée. Il prospère sous une exposition en plein soleil et préfère un sol bien drainé. Très résistant à la sécheresse, il nécessite un arrosage léger une fois établi. Son entretien est minimal : une taille après la floraison permet de favoriser une croissance harmonieuse et une floraison encore plus intense. Sensible au gel, il doit être protégé en hiver dans les régions froides ou cultivé en pot pour être rentré à l'abri.","Climbers, Shrubs","Spring,Summer,Autumn","100 cm, 500 cm",pH between 5.5 to 6.5,Full sun,Low,Low,"Sable, Limon"
